name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,stock,stock_alert_threshold,allergens,organic,surplus,quality_class,discount_percentage,discount_expiry,discount note,images,img_path
Garlic Bulbs,vegetable,Pungent and aromatic garlic bulbs.,0.49,pcs,available all year,march,october,2026-06-27,437,,,True,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Garlic_bulbs_and_cloves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,garlic_bulbs.jpg
Fresh Ginger,vegetable,Zesty and spicy fresh ginger root.,1.02,g,available all year,may,august,2026-06-24,385,,,False,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Starr_070730-7818_Zingiber_officinale.jpg/1280px-Starr_070730-7818_Zingiber_officinale.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,fresh_ginger.jpg
Zucchini,vegetable,"Firm and tender zucchini, great for grilling.",1.28,kg,available all year,may,august,2026-05-16,336,,,False,True,Discounted,43,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Zucchini_%2820240716%29.jpg/960px-Zucchini_%2820240716%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,zucchini.jpg
Cauliflower,vegetable,"Large, firm white cauliflower head.",1.7,heads,available all year,june,february,2026-09-16,169,,,True,True,Discounted,28,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Woolworths-cauliflower.jpg/960px-Woolworths-cauliflower.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,cauliflower.jpg
Sweet Potatoes,vegetable,Nutritious orange-fleshed sweet potatoes.,1.97,kg,available all year,august,march,2026-08-18,445,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/5/58/Ipomoea_batatas_006.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,sweet_potatoes.jpg
Butternut Squash,vegetable,Sweet and nutty winter squash.,2.03,pcs,available all year,march,october,2026-09-04,47,,,True,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Cucurbita_moschata_Butternut_2012_G2.jpg/1280px-Cucurbita_moschata_Butternut_2012_G2.jpg,butternut_squash.jpg
Asparagus Spears,vegetable,"Tender young asparagus, perfect for grilling.",3.8,bunch,available,january,august,2026-07-08,107,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Asparagus-Bundle.jpg/330px-Asparagus-Bundle.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,asparagus_spears.jpg
Spring Onions,vegetable,Fresh salad onions with a mild bite.,0.79,bunch,available all year,august,march,2026-07-27,249,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Spring_Onion.jpg/960px-Spring_Onion.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail&_=20110124190602,spring_onions.jpg
Brussels Sprouts,vegetable,"Small, leafy green buds, great roasted.",1.28,kg,unavailable,january,august,2026-06-07,200,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Spruitjes.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,brussels_sprouts.jpg
Leeks,vegetable,"Mild, onion-like vegetables for soups.",1.92,kg,available all year,may,august,2026-09-30,429,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Leek.jpg/960px-Leek.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail&_=20120210132238,leeks.jpg
Gala Apples,fruit,"Sweet and crunchy Gala apples, a family favorite.",1.92,kg,available all year,february,november,2026-08-01,38,,,True,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Golden_Delicious%2C_SweeTango%2C_Granny_Smith%2C_and_Gala_apples_3.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,gala_apples.jpg
Bananas,fruit,"Fairtrade yellow bananas, perfectly ripened.",1.26,kg,unavailable,march,october,2026-05-12,88,,,False,True,Discounted,27,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Cavendish_banana_from_Maracaibo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,bananas.jpg
Strawberries,fruit,Sweet and juicy locally grown strawberries.,3.64,g,available all year,february,november,2026-09-27,493,,,True,True,Discounted,27,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_halved.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,strawberries.jpg
Blueberries,fruit,"Fresh, antioxidant-rich blueberries.",2.56,g,available all year,may,august,2026-08-22,485,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/2021-07-20_19_27_11_A_close-up_of_Hammonton_NJ_Jersey_Fruit_Blueberries_in_Rochelle_Park_Township%2C_Bergen_County%2C_New_Jersey.jpg/1280px-2021-07-20_19_27_11_A_close-up_of_Hammonton_NJ_Jersey_Fruit_Blueberries_in_Rochelle_Park_Township%2C_Bergen_County%2C_New_Jersey.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,blueberries.jpg
Valencia Oranges,fruit,"Juicy oranges, ideal for snacking or juicing.",2.59,kg,unavailable,april,september,2026-07-25,169,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Valenciaorange.jpg,valencia_oranges.jpg
Conference Pears,fruit,Sweet and juicy pears with a firm texture.,2.13,kg,unavailable,march,december,2026-06-15,228,,,True,True,Discounted,24,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Pyrus_communis_%27Conference%27.jpg/960px-Pyrus_communis_%27Conference%27.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,conference_pears.jpg
Raspberries,fruit,Delicate and sweet fresh raspberries.,2.75,g,available all year,march,december,2026-06-07,170,,,False,True,Discounted,43,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Raspberries_%28Rubus_Idaeus%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,raspberries.jpg
Red Grapes,fruit,"Seedless red grapes, sweet and bursting with flavor.",2.44,kg,available all year,january,december,2026-07-17,203,,,False,True,Discounted,23,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/2021-07-11_13_07_30_Red_table_grapes_in_the_Franklin_Farm_section_of_Oak_Hill%2C_Fairfax_County%2C_Virginia.jpg/960px-2021-07-11_13_07_30_Red_table_grapes_in_the_Franklin_Farm_section_of_Oak_Hill%2C_Fairfax_County%2C_Virginia.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,red_grapes.jpg
Lemons,fruit,Zesty fresh lemons for cooking and drinks.,0.39,pcs,available,june,february,2026-10-08,86,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Lemon.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,lemons.jpg
Yellow Peaches,fruit,Soft and sweet yellow-fleshed peaches.,2.07,kg,available all year,january,august,2026-08-03,185,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/%D0%91%D0%B0%D1%82%D0%BA%D0%B5%D0%BD_%D3%A9%D1%80%D2%AF%D0%B3%D2%AF.jpg/500px-%D0%91%D0%B0%D1%82%D0%BA%D0%B5%D0%BD_%D3%A9%D1%80%D2%AF%D0%B3%D2%AF.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,yellow_peaches.jpg
Avocados,fruit,"Creamy Hass avocados, ready to eat.",1.54,pcs,available all year,february,november,2026-06-20,318,,,False,True,Discounted,41,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Avocado_Hass_-_single_and_halved.jpg/1280px-Avocado_Hass_-_single_and_halved.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,avocados.jpg
Kiwi Fruit,fruit,"Tangy green kiwi fruit, high in Vitamin C.",0.62,pcs,available all year,july,january,2026-10-30,187,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Kiwi_%28Actinidia_chinensis%29_1_Luc_Viatour.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,kiwi_fruit.jpg
Mango,fruit,"Large, sweet tropical mango.",1.69,pcs,available,april,september,2026-06-12,34,,,True,True,Discounted,43,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Mangos_in_market.jpg,mango.jpg
Pineapple,fruit,Sweet and juicy whole pineapple.,2.44,pcs,available,march,october,2026-06-18,116,,,True,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/%22Pineapples%22.jpg/960px-%22Pineapples%22.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,pineapple.jpg
Grapefruit,fruit,Zesty pink grapefruit for breakfast.,0.88,pcs,available,march,october,2026-08-31,213,,,False,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/210704_grapefruit-citrus-paradisi-marktware_1-640x480.jpg,grapefruit.jpg
Whole Milk,dairy,Rich and creamy farm-fresh whole milk.,1.67,l,unavailable,july,january,2026-07-25,472,,,True,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Cartons_of_Nature%27s_Promise_milk_%2850855058622%29.jpg/960px-Cartons_of_Nature%27s_Promise_milk_%2850855058622%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,whole_milk.jpg
Semi-Skimmed Milk,dairy,Fresh semi-skimmed milk from local dairies.,1.42,l,unavailable,january,december,2026-06-23,199,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Dairy_Crest_Semi_Skimmed_Milk_Bottle.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,semi-skimmed_milk.jpg
Greek Yogurt,dairy,Thick and creamy authentic Greek style yogurt.,2.0,g,unavailable,january,december,2026-09-16,483,,,True,True,Discounted,48,,,https://upload.wikimedia.org/wikipedia/commons/5/59/Fresh_greek_yoghurt.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,greek_yogurt.jpg
Salted Butter,dairy,"Rich, golden salted butter made from grass-fed cows.",2.37,g,unavailable,february,november,2026-10-01,187,,,True,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Stick-of-butter-salted.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,salted_butter.jpg
Mature Cheddar,dairy,Sharp and tangy mature cheddar cheese.,4.15,g,unavailable,january,december,2026-06-09,50,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Somerset-Cheddar.jpg/250px-Somerset-Cheddar.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,mature_cheddar.jpg
Large Organic Eggs,dairy,Farm-fresh organic eggs from free-range hens.,3.98,dozen,available,april,september,2026-07-14,404,,,False,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Eierkarton_10_%28fcm%29.jpg/960px-Eierkarton_10_%28fcm%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,large_organic_eggs.jpg
Free Range Eggs,dairy,Quality free-range eggs for baking and breakfast.,3.41,dozen,unavailable,march,december,2026-05-17,394,,,False,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/7/75/FreeRangeEgg.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,free_range_eggs.jpg
Brie de Meaux,dairy,Creamy and soft ripened French brie cheese.,5.04,g,available,april,september,2026-08-19,248,,,False,True,Discounted,37,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Brie_01.jpg/1920px-Brie_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,brie_de_meaux.jpg
Goat Cheese,dairy,Tangy and smooth fresh goat cheese log.,4.02,g,unavailable,may,august,2026-08-07,135,,,False,True,Discounted,22,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/2_upgrade_stage.jpg/960px-2_upgrade_stage.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,goat_cheese.jpg
Double Cream,dairy,Thick and luxurious double cream for desserts.,2.04,ml,unavailable,april,september,2026-07-10,445,,,False,False,A,0,,,https://images.openfoodfacts.org/images/products/000/002/025/7415/front_en.8.full.jpg,double_cream.jpg
Cottage Cheese,dairy,Mild and creamy low-fat cottage cheese.,1.44,g,unavailable,march,december,2026-08-06,217,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Cottage_Cheese.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,cottage_cheese.jpg
Parmesan Cheese,dairy,Aged hard Italian cheese with rich flavor.,5.8,g,unavailable,january,december,2026-09-22,275,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Parmigiano_Reggiano_meules_MIN_Rungis.jpg/960px-Parmigiano_Reggiano_meules_MIN_Rungis.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,parmesan_cheese.jpg
Mozzarella Ball,dairy,Soft and mild fresh mozzarella in brine.,1.49,pcs,unavailable,january,august,2026-06-11,212,,,True,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Mozzarella_di_bufala3.jpg/960px-Mozzarella_di_bufala3.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,mozzarella_ball.jpg
Artisan Sourdough,bakery,Traditional slow-fermented sourdough bread.,4.35,pcs,available,february,november,2026-09-13,435,,,True,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Home_made_sour_dough_bread.jpg/960px-Home_made_sour_dough_bread.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail&_=20200523002425,artisan_sourdough.jpg
French Baguette,bakery,Classic crusty baguette baked daily.,1.15,pcs,unavailable,may,august,2026-07-16,127,,,True,True,Discounted,38,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Baguettes_-_stonesoup.jpg/960px-Baguettes_-_stonesoup.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,french_baguette.jpg
Butter Croissants,bakery,Flaky and buttery hand-rolled croissants.,3.44,pcs,available,january,december,2026-07-20,298,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Croissants_au_beurre_%2818953292873%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,butter_croissants.jpg
Rye Bread,bakery,Hearty and dense traditional rye bread.,3.67,pcs,available all year,february,november,2026-08-12,403,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/100%25_Rye_Bread_%285752657009%29.jpg/960px-100%25_Rye_Bread_%285752657009%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,rye_bread.jpg
English Muffins,bakery,"Classic griddle-baked English muffins, pack of 4.",1.87,pcs,available all year,january,december,2026-09-17,88,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Flickr_jspatchwork_146937146--Making_English_muffins_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,english_muffins.jpg
Multigrain Loaf,bakery,Nutritious loaf packed with seeds and grains.,3.18,pcs,available all year,may,august,2026-08-07,321,,,False,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Multigrain.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,multigrain_loaf.jpg
Chocolate Muffins,bakery,Rich and decadent muffins with dark chocolate chunks.,2.34,pcs,unavailable,april,september,2026-07-03,341,,,False,False,C,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Chocolate_muffin_bake.jpg/960px-Chocolate_muffin_bake.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,chocolate_muffins.jpg
Fruit Scones,bakery,Traditional handmade scones with vine fruits.,2.89,pcs,available,march,december,2026-09-20,82,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/1/10/-2022-02-04_Home_baked_fruit_scones%2C_Trimingham%2C_Norfolk.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,fruit_scones.jpg
Brioche Buns,bakery,Soft and buttery brioche buns for burgers.,2.99,pcs,available all year,january,august,2026-08-23,58,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Brioche.jpg,brioche_buns.jpg
Sesame Bagels,bakery,Chewy New York style bagels with sesame seeds.,2.51,pcs,available,may,august,2026-08-27,199,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Simit-2x.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,sesame_bagels.jpg
Ciabatta Rolls,bakery,Classic Italian rolls with a light texture.,0.97,pcs,unavailable,march,december,2026-08-13,353,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Ciabatta_cut.JPG/960px-Ciabatta_cut.JPG?utm_source=commons.wikimedia.org&utm_campaign=parser,ciabatta_rolls.jpg
Wholemeal Bread,bakery,High-fiber traditional wholemeal sliced loaf.,2.41,pcs,available,april,september,2026-05-20,134,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Homemade_wholemeal_bread.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wholemeal_bread.jpg
Pain au Chocolat,bakery,Buttery pastry filled with dark chocolate.,1.5,pcs,available,may,august,2026-05-16,56,,,True,True,Discounted,33,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Pain_au_chocolat_Luc_Viatour.jpg/960px-Pain_au_chocolat_Luc_Viatour.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,pain_au_chocolat.jpg
Strawberry Jam,preserve,Classic homemade strawberry preserve.,3.51,g,available,march,october,2026-06-08,264,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Strawberry_jam_%28home_preservation%29.jpg/960px-Strawberry_jam_%28home_preservation%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,strawberry_jam.jpg
Wildflower Honey,preserve,Pure and natural raw wildflower honey.,5.87,g,available,january,august,2026-07-27,354,,,False,True,Discounted,21,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Runny_hunny.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wildflower_honey.jpg
Orange Marmalade,preserve,Bittersweet orange marmalade with fine zest.,3.35,g,available all year,january,december,2026-09-29,47,,,True,True,Discounted,20,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Apricot_marmalade.jpg/960px-Apricot_marmalade.jpg?utm_source=commons.wikimedia.org&utm_campaign=gallery,orange_marmalade.jpg
Pickled Onions,preserve,Crispy silverskin onions in spiced vinegar.,2.44,g,unavailable,january,december,2026-09-13,373,,,True,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/-2018-12-17_Pickled_Onions%2C_Cromer_%281%29.JPG/960px--2018-12-17_Pickled_Onions%2C_Cromer_%281%29.JPG?utm_source=commons.wikimedia.org,pickled_onions.jpg
Basil Pesto,preserve,Traditional pesto made with fresh basil and pine nuts.,3.84,g,unavailable,january,august,2026-08-28,427,,,False,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/BasilPesto.JPG/960px-BasilPesto.JPG?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,basil_pesto.jpg
Tomato Chutney,preserve,Savory and spiced sun-ripened tomato chutney.,4.12,g,available all year,march,october,2026-08-11,414,,,False,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Tomato_Chutney_3.jpg/960px-Tomato_Chutney_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,tomato_chutney.jpg
Apple Sauce,preserve,Smooth and sweet sauce made from Bramley apples.,2.1,g,available all year,march,december,2026-08-01,240,,,False,True,Discounted,22,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Apple-sauce-544676.jpg/960px-Apple-sauce-544676.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser,apple_sauce.jpg
Sauerkraut,preserve,Fermented cabbage with caraway seeds.,4.6,g,available all year,april,september,2026-09-02,407,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Saurkraut_%28cropped%29.JPG/960px-Saurkraut_%28cropped%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=parser,sauerkraut.jpg
Blackcurrant Conserve,preserve,Rich and tart blackcurrant preserve.,3.93,g,unavailable,january,december,2026-08-14,264,,,False,True,Discounted,26,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Blackcurrant_jam.jpg?utm_source=commons.wikimedia.org&utm_campaign=index,blackcurrant_conserve.jpg
Chilli Jam,preserve,Sweet and spicy chilli jam for cheese pairings.,4.05,g,unavailable,march,december,2026-08-27,493,,,True,True,Discounted,27,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Sweet_chilli_sauce.jpg/960px-Sweet_chilli_sauce.jpg?utm_source=commons.wikimedia.org,chilli_jam.jpg
Lemon Curd,preserve,Zesty and creamy traditional lemon curd.,2.73,g,unavailable,march,october,2026-09-16,406,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Lemon_curd-2.jpg/960px-Lemon_curd-2.jpg,lemon_curd.jpg
Peanut Butter,preserve,Smooth roasted peanut butter with no added sugar.,3.47,g,available all year,march,december,2026-08-31,282,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Peanut_butter_%28488467362%29.jpg/960px-Peanut_butter_%28488467362%29.jpg?utm_source=commons.wikimedia.org,peanut_butter.jpg
Balsamic Vinegar,preserve,Aged balsamic vinegar for salads and dipping.,6.78,ml,available,january,december,2026-05-20,250,,,False,False,A,0,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/BALSAMIC_VINEGAR_WITH_PROTECTIVE_GEOGRAPHICAL_SIGN.%D7%97%D7%95%D7%9E%D7%A5_%D7%91%D7%9C%D7%A1%D7%9E%D7%99_%D7%A2%D7%9D_%D7%A1%D7%99%D7%9E%D7%95%D7%9F_%D7%94%D7%92%D7%A0%D7%94_%D7%92%D7%90%D7%95%D7%92%D7%A8%D7%A4%D7%99.jpg,balsamic_vinegar.jpg
