name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,stock,stock_alert_threshold,allergens,organic,surplus,discount_percentage,discount_expiry,discount note,images
Product 24,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,3.54,pcs,unavailable,october,january,2026-03-28,113,,,True,True,0,,,
Product 25,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",6.8,pcs,unavailable,november,november,2026-03-28,129,,,True,True,0,,,
Product 26,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",17.52,pcs,available all year,september,august,2026-03-30,344,,,True,True,0,,,
Product 27,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,38.16,dozen,unavailable,march,september,2026-03-31,303,,,True,True,0,,,
Product 28,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",21.77,pcs,unavailable,january,january,2026-03-30,456,,,True,True,0,,,
Product 29,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",15.97,dozen,unavailable,february,january,2026-03-29,288,,,True,True,0,,,
Product 30,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,14.73,pcs,available all year,july,december,2026-04-04,105,,,True,True,0,,,
Product 31,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",29.04,l,available,january,march,2026-03-23,177,,,True,True,0,,,
Product 32,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",10.46,dozen,available all year,february,february,2026-03-29,206,,,True,True,0,,,
Product 33,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.77,l,available all year,november,june,2026-03-23,194,,,True,True,0,,,
Product 34,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",24.07,l,unavailable,april,june,2026-03-24,479,,,True,True,0,,,
Product 35,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",12.13,pcs,available,february,january,2026-04-04,369,,,True,True,0,,,
Product 36,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",34.5,l,available,january,february,2026-04-03,479,,,True,True,0,,,
Product 37,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",29.28,dozen,available,march,june,2026-03-25,358,,,True,True,0,,,
Product 38,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",45.1,pcs,unavailable,january,november,2026-03-27,298,,,True,True,0,,,
Product 39,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,36.58,kg,unavailable,november,august,2026-03-25,226,,,True,True,0,,,
Product 40,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",46.83,kg,unavailable,march,september,2026-03-25,403,,,True,True,0,,,
Product 41,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",49.65,pcs,unavailable,may,august,2026-03-30,348,,,True,True,0,,,
Product 42,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",10.16,l,unavailable,august,july,2026-03-31,397,,,True,True,0,,,
Product 43,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",34.16,l,available all year,april,may,2026-03-24,245,,,True,True,0,,,
Product 44,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",10.64,pcs,available,november,may,2026-04-04,115,,,True,True,0,,,
Product 45,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.15,pcs,available,september,november,2026-04-01,129,,,True,True,0,,,
Product 46,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",25.94,l,unavailable,november,june,2026-03-25,164,,,True,True,0,,,
Product 47,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",16.07,l,available,december,may,2026-03-25,263,,,True,True,0,,,
Product 48,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",39.61,pcs,available all year,march,july,2026-03-27,104,,,True,True,0,,,
Product 49,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",16.09,kg,unavailable,november,december,2026-04-01,295,,,True,True,0,,,
Product 50,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",13.87,pcs,unavailable,april,april,2026-03-23,380,,,True,True,0,,,
Product 51,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",19.79,kg,available all year,april,february,2026-03-23,310,,,True,True,0,,,
Product 52,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,43.67,kg,available,october,january,2026-04-04,70,,,True,True,0,,,
Product 53,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",20.74,dozen,unavailable,february,february,2026-03-26,283,,,True,True,0,,,
Product 54,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",18.94,kg,available all year,july,july,2026-03-31,199,,,True,True,0,,,
Product 55,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",28.78,kg,available,january,november,2026-03-28,88,,,True,True,0,,,
Product 56,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",19.92,l,unavailable,september,july,2026-04-03,430,,,True,True,0,,,
Product 57,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",9.66,pcs,available,july,august,2026-03-31,479,,,True,True,0,,,
Product 58,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",47.34,kg,available,september,march,2026-03-26,128,,,True,True,0,,,
Product 59,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,12.11,kg,unavailable,march,december,2026-03-31,259,,,True,True,0,,,
Product 60,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,2.07,l,available all year,april,november,2026-03-24,426,,,True,True,0,,,
Product 61,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",46.03,pcs,available,june,august,2026-03-24,146,,,True,True,0,,,
Product 62,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",48.03,pcs,unavailable,march,august,2026-03-30,433,,,True,True,0,,,
Product 63,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",21.16,pcs,unavailable,october,september,2026-03-29,97,,,True,True,0,,,
Product 64,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",32.78,kg,unavailable,january,june,2026-03-30,118,,,True,True,0,,,
Product 65,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,46.32,l,unavailable,june,november,2026-03-29,485,,,True,True,0,,,
Product 66,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",29.97,dozen,available all year,october,june,2026-03-25,437,,,True,True,0,,,
Product 67,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",38.15,l,available,september,february,2026-03-30,233,,,True,True,0,,,
Product 68,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",30.85,pcs,available all year,april,may,2026-03-28,149,,,True,True,0,,,
Product 69,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",18.76,pcs,unavailable,june,november,2026-03-31,405,,,True,True,0,,,
Product 70,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",5.48,pcs,available all year,october,august,2026-04-01,64,,,True,True,0,,,
Product 71,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.07,pcs,available,january,september,2026-04-02,239,,,True,True,0,,,
Product 72,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",5.85,l,available all year,december,october,2026-03-29,16,,,True,True,0,,,
Product 73,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",39.29,l,available,december,november,2026-04-04,204,,,True,True,0,,,
Product 74,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",16.1,kg,available all year,december,october,2026-04-02,225,,,True,True,0,,,
Product 75,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",19.01,l,unavailable,april,november,2026-03-23,64,,,True,True,0,,,
Product 76,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.52,pcs,available all year,april,july,2026-03-24,230,,,True,True,0,,,
Product 77,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",30.76,dozen,unavailable,july,september,2026-03-29,159,,,True,True,0,,,
Product 78,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,19.74,kg,available all year,march,october,2026-04-02,289,,,True,True,0,,,
Product 79,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",47.23,dozen,available all year,april,june,2026-04-03,265,,,True,True,0,,,
Product 80,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",13.76,pcs,available all year,march,february,2026-04-01,255,,,True,True,0,,,
Product 81,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",39.85,l,unavailable,november,january,2026-04-04,137,,,True,True,0,,,
Product 82,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",28.82,dozen,unavailable,march,october,2026-03-24,60,,,True,True,0,,,
Product 83,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",23.12,l,unavailable,january,september,2026-03-27,22,,,True,True,0,,,
Product 84,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",21.67,pcs,available,september,december,2026-03-31,243,,,True,True,0,,,
Product 85,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",24.59,dozen,available all year,march,may,2026-04-02,424,,,True,True,0,,,
Product 86,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",32.93,pcs,available all year,june,may,2026-03-23,91,,,True,True,0,,,
Product 87,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",12.74,pcs,unavailable,april,august,2026-03-27,387,,,True,True,0,,,
Product 88,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",20.36,dozen,available all year,june,september,2026-04-01,105,,,True,True,0,,,
Product 89,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",23.69,l,available all year,august,may,2026-03-23,210,,,True,True,0,,,
Product 90,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",42.51,dozen,unavailable,december,september,2026-04-01,78,,,True,True,0,,,
Product 91,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,16.31,pcs,unavailable,october,august,2026-03-31,315,,,True,True,0,,,
Product 92,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",10.51,pcs,available,march,july,2026-03-24,157,,,True,True,0,,,
Product 93,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.34,dozen,available,july,july,2026-04-03,109,,,True,True,0,,,
Product 94,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",34.71,pcs,unavailable,november,june,2026-03-31,25,,,True,True,0,,,
Product 95,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,14.83,pcs,available all year,october,april,2026-04-04,271,,,True,True,0,,,
Product 96,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",39.09,kg,unavailable,september,april,2026-03-27,62,,,True,True,0,,,
Product 97,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.31,pcs,available all year,september,september,2026-03-30,425,,,True,True,0,,,
Product 98,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",31.38,kg,available all year,july,january,2026-03-23,153,,,True,True,0,,,
Product 99,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",15.53,kg,available,april,july,2026-03-31,151,,,True,True,0,,,
Product 100,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",8.59,pcs,available,april,october,2026-04-03,333,,,True,True,0,,,
Product 101,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.42,pcs,unavailable,may,august,2026-03-26,489,,,True,True,0,,,
Product 102,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",17.37,pcs,unavailable,november,march,2026-04-02,213,,,True,True,0,,,
Product 103,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,25.49,dozen,unavailable,march,march,2026-03-31,446,,,True,True,0,,,
Product 104,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",3.73,kg,available,december,january,2026-04-03,243,,,True,True,0,,,
Product 105,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,49.79,pcs,unavailable,april,february,2026-04-02,194,,,True,True,0,,,
Product 106,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",33.73,kg,available all year,august,september,2026-04-04,368,,,True,True,0,,,
Product 107,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",35.63,pcs,available,february,september,2026-04-03,125,,,True,True,0,,,
Product 108,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",35.24,pcs,unavailable,january,july,2026-03-25,206,,,True,True,0,,,
Product 109,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",16.7,pcs,unavailable,december,october,2026-04-01,281,,,True,True,0,,,
Product 110,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",18.53,pcs,unavailable,may,july,2026-04-02,54,,,True,True,0,,,
Product 111,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,30.09,pcs,available,february,july,2026-03-27,151,,,True,True,0,,,
Product 112,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,39.28,pcs,available,march,january,2026-04-03,210,,,True,True,0,,,
Product 113,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",25.5,pcs,available all year,may,may,2026-03-31,465,,,True,True,0,,,
Product 114,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",7.9,dozen,available all year,march,october,2026-03-26,251,,,True,True,0,,,
Product 115,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",2.17,kg,unavailable,may,june,2026-04-04,374,,,True,True,0,,,
Product 116,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",5.5,l,available all year,april,july,2026-04-04,168,,,True,True,0,,,
Product 117,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",27.51,kg,available,january,june,2026-03-23,498,,,True,True,0,,,
Product 118,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",5.68,pcs,available all year,november,april,2026-04-04,351,,,True,True,0,,,
Product 119,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",35.83,pcs,unavailable,august,april,2026-03-31,200,,,True,True,0,,,
Product 120,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,38.91,pcs,unavailable,october,october,2026-04-04,374,,,True,True,0,,,
Product 121,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",26.27,l,available all year,march,february,2026-03-26,140,,,True,True,0,,,
Product 122,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",37.43,kg,available all year,march,march,2026-03-29,196,,,True,True,0,,,
Product 123,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",46.66,pcs,unavailable,november,february,2026-03-31,223,,,True,True,0,,,
Product 124,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",29.22,kg,available all year,september,september,2026-03-25,33,,,True,True,0,,,
Product 125,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,43.5,kg,available all year,march,january,2026-04-04,198,,,True,True,0,,,
Product 126,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",37.37,dozen,available all year,february,may,2026-04-04,407,,,True,True,0,,,
Product 127,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",1.81,pcs,available all year,february,may,2026-04-03,439,,,True,True,0,,,
Product 128,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,38.31,kg,available,april,august,2026-03-27,261,,,True,True,0,,,
Product 129,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",6.01,pcs,unavailable,december,april,2026-03-24,53,,,True,True,0,,,
Product 130,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",5.13,pcs,available all year,june,january,2026-03-23,143,,,True,True,0,,,
Product 131,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",16.93,kg,available,january,march,2026-04-04,404,,,True,True,0,,,
Product 132,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,9.47,pcs,available,january,october,2026-03-31,116,,,True,True,0,,,
Product 133,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",14.35,pcs,available,september,october,2026-03-30,437,,,True,True,0,,,
Product 134,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",35.99,l,available all year,october,april,2026-03-23,429,,,True,True,0,,,
Product 135,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",42.95,pcs,available all year,july,july,2026-04-02,421,,,True,True,0,,,
Product 136,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",4.49,pcs,available all year,may,september,2026-03-26,332,,,True,True,0,,,
Product 137,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",2.56,pcs,unavailable,december,february,2026-03-23,72,,,True,True,0,,,
Product 138,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",9.65,pcs,available,october,october,2026-03-30,359,,,True,True,0,,,
Product 139,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,11.91,dozen,available all year,september,june,2026-03-27,324,,,True,True,0,,,
Product 140,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",21.48,kg,available,august,march,2026-04-02,80,,,True,True,0,,,
Product 141,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",32.09,pcs,available,april,october,2026-03-25,410,,,True,True,0,,,
Product 142,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",20.34,dozen,available all year,august,february,2026-03-31,468,,,True,True,0,,,
Product 143,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",27.18,pcs,available,august,february,2026-03-27,133,,,True,True,0,,,
Product 144,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,29.42,pcs,unavailable,october,december,2026-03-25,172,,,True,True,0,,,
Product 145,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",47.46,l,available all year,june,july,2026-04-04,168,,,True,True,0,,,
Product 146,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",5.88,pcs,available all year,february,april,2026-04-02,179,,,True,True,0,,,
Product 147,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",36.27,kg,available,may,november,2026-03-28,66,,,True,True,0,,,
Product 148,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",35.67,l,available all year,july,september,2026-04-03,175,,,True,True,0,,,
Product 149,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,39.9,pcs,available all year,july,april,2026-03-23,350,,,True,True,0,,,
Product 150,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",37.1,pcs,unavailable,september,march,2026-03-25,300,,,True,True,0,,,
Product 151,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",46.17,l,available all year,november,february,2026-03-31,179,,,True,True,0,,,
Product 152,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",49.15,dozen,available,january,august,2026-03-30,117,,,True,True,0,,,
Product 153,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",13.95,kg,unavailable,july,november,2026-04-02,224,,,True,True,0,,,
Product 154,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",44.27,pcs,available all year,june,june,2026-03-24,343,,,True,True,0,,,
Product 155,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,5.07,kg,unavailable,april,january,2026-03-23,47,,,True,True,0,,,
Product 156,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",9.3,kg,unavailable,april,october,2026-04-03,25,,,True,True,0,,,
Product 157,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,9.12,pcs,available all year,september,february,2026-03-26,293,,,True,True,0,,,
Product 158,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",13.02,l,available,january,may,2026-03-29,37,,,True,True,0,,,
Product 159,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",5.75,pcs,available all year,november,may,2026-03-27,115,,,True,True,0,,,
Product 160,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,24.47,pcs,available,october,september,2026-03-29,145,,,True,True,0,,,
Product 161,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,19.49,pcs,available all year,september,february,2026-03-29,235,,,True,True,0,,,
Product 162,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.1,pcs,available,september,june,2026-03-30,186,,,True,True,0,,,
Product 163,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",42.28,l,unavailable,april,january,2026-03-29,163,,,True,True,0,,,
Product 164,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",25.85,l,available,december,november,2026-03-31,239,,,True,True,0,,,
Product 165,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",40.71,pcs,available all year,may,february,2026-03-25,431,,,True,True,0,,,
Product 166,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",45.67,pcs,available all year,december,july,2026-04-03,176,,,True,True,0,,,
Product 167,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",39.65,l,available all year,september,september,2026-03-27,86,,,True,True,0,,,
Product 168,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,28.79,l,unavailable,january,october,2026-03-23,206,,,True,True,0,,,
Product 169,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",9.85,l,unavailable,december,october,2026-04-03,212,,,True,True,0,,,
Product 170,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,37.67,kg,available,october,june,2026-03-26,153,,,True,True,0,,,
Product 171,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,8.02,dozen,available,april,december,2026-03-26,236,,,True,True,0,,,
Product 172,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",38.34,l,available,may,may,2026-04-02,373,,,True,True,0,,,
Product 173,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",9.93,pcs,available all year,october,september,2026-04-01,480,,,True,True,0,,,
Product 174,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",19.37,pcs,available all year,june,december,2026-03-27,200,,,True,True,0,,,
Product 175,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",48.09,l,available all year,june,december,2026-04-04,438,,,True,True,0,,,
Product 176,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",2.83,l,available all year,february,august,2026-03-23,125,,,True,True,0,,,
Product 177,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",26.39,pcs,unavailable,july,november,2026-04-01,420,,,True,True,0,,,
Product 178,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,31.0,pcs,unavailable,may,october,2026-04-02,139,,,True,True,0,,,
