name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,food_miles,stock,stock_alert_threshold,allergens,organic,surplus,discount_percentage,discount_expiry,discount note,images,producer_id
Product 17,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",19.37,pcs,available all year,march,june,2026-03-26,47,456,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 18,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",48.4,pcs,unavailable,october,march,2026-04-02,11,278,,,True,True,0,,,,62548cdc-50c7-47df-ad1a-597d7fadc5cf
Product 19,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",3.03,kg,unavailable,march,march,2026-04-02,27,87,,,True,True,0,,,,2031ebcc-284d-4e8c-9c1e-e95c77f79fbb
Product 20,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",25.84,kg,available,october,january,2026-03-27,36,176,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 21,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.9,dozen,available all year,january,december,2026-03-23,44,405,,,True,True,0,,,,c705a564-c9e1-488b-a283-5ad891e8e974
Product 22,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.93,dozen,available all year,november,july,2026-03-23,50,157,,,True,True,0,,,,bced84ad-7162-41e6-94f8-09cbb015649d
Product 23,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,24.77,dozen,available,march,march,2026-03-25,26,429,,,True,True,0,,,,c705a564-c9e1-488b-a283-5ad891e8e974
Product 24,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,3.54,pcs,unavailable,october,january,2026-03-28,14,113,,,True,True,0,,,,bced84ad-7162-41e6-94f8-09cbb015649d
Product 25,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",6.8,pcs,unavailable,november,november,2026-03-28,41,129,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 26,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",17.52,pcs,available all year,september,august,2026-03-30,27,344,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 27,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,38.16,dozen,unavailable,march,september,2026-03-31,42,303,,,True,True,0,,,,69d51ec4-20e7-4886-82df-a8de3a19c3f1
Product 28,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",21.77,pcs,unavailable,january,january,2026-03-30,48,456,,,True,True,0,,,,cfb8da7b-e9b4-4076-9c07-3d624259e553
Product 29,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",15.97,dozen,unavailable,february,january,2026-03-29,42,288,,,True,True,0,,,,2031ebcc-284d-4e8c-9c1e-e95c77f79fbb
Product 30,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,14.73,pcs,available all year,july,december,2026-04-04,46,105,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 31,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",29.04,l,available,january,march,2026-03-23,33,177,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 32,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",10.46,dozen,available all year,february,february,2026-03-29,17,206,,,True,True,0,,,,30504cf5-9c8b-4bc3-8bec-452979b9d4b7
Product 33,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.77,l,available all year,november,june,2026-03-23,42,194,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 34,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",24.07,l,unavailable,april,june,2026-03-24,41,479,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 35,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",12.13,pcs,available,february,january,2026-04-04,27,369,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 36,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",34.5,l,available,january,february,2026-04-03,5,479,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 37,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",29.28,dozen,available,march,june,2026-03-25,8,358,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 38,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",45.1,pcs,unavailable,january,november,2026-03-27,30,298,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 39,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,36.58,kg,unavailable,november,august,2026-03-25,3,226,,,True,True,0,,,,4eac4993-e32a-475b-9b79-1be50ecaf713
Product 40,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",46.83,kg,unavailable,march,september,2026-03-25,12,403,,,True,True,0,,,,62548cdc-50c7-47df-ad1a-597d7fadc5cf
Product 41,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",49.65,pcs,unavailable,may,august,2026-03-30,44,348,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 42,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",10.16,l,unavailable,august,july,2026-03-31,1,397,,,True,True,0,,,,69d51ec4-20e7-4886-82df-a8de3a19c3f1
Product 43,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",34.16,l,available all year,april,may,2026-03-24,16,245,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 44,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",10.64,pcs,available,november,may,2026-04-04,16,115,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 45,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.15,pcs,available,september,november,2026-04-01,29,129,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 46,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",25.94,l,unavailable,november,june,2026-03-25,16,164,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 47,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",16.07,l,available,december,may,2026-03-25,36,263,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 48,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",39.61,pcs,available all year,march,july,2026-03-27,25,104,,,True,True,0,,,,62548cdc-50c7-47df-ad1a-597d7fadc5cf
Product 49,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",16.09,kg,unavailable,november,december,2026-04-01,27,295,,,True,True,0,,,,9fc10073-afee-4267-8fa5-7dd157f06ca2
Product 50,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",13.87,pcs,unavailable,april,april,2026-03-23,35,380,,,True,True,0,,,,9f714f07-81b3-41c2-8f92-313b27f97a2e
Product 51,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",19.79,kg,available all year,april,february,2026-03-23,49,310,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 52,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,43.67,kg,available,october,january,2026-04-04,48,70,,,True,True,0,,,,19c8e589-2a62-49a6-b3fe-209cbb134108
Product 53,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",20.74,dozen,unavailable,february,february,2026-03-26,30,283,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 54,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",18.94,kg,available all year,july,july,2026-03-31,14,199,,,True,True,0,,,,8227edfc-f293-4376-8ce4-f3d2b0e1a509
Product 55,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",28.78,kg,available,january,november,2026-03-28,19,88,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 56,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",19.92,l,unavailable,september,july,2026-04-03,49,430,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 57,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",9.66,pcs,available,july,august,2026-03-31,12,479,,,True,True,0,,,,5a492b54-b2c5-4769-b74f-7dafeb6aaaf7
Product 58,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",47.34,kg,available,september,march,2026-03-26,41,128,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 59,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,12.11,kg,unavailable,march,december,2026-03-31,43,259,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 60,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,2.07,l,available all year,april,november,2026-03-24,33,426,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 61,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",46.03,pcs,available,june,august,2026-03-24,23,146,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 62,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",48.03,pcs,unavailable,march,august,2026-03-30,44,433,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 63,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",21.16,pcs,unavailable,october,september,2026-03-29,45,97,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 64,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",32.78,kg,unavailable,january,june,2026-03-30,15,118,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 65,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,46.32,l,unavailable,june,november,2026-03-29,12,485,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 66,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",29.97,dozen,available all year,october,june,2026-03-25,37,437,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 67,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",38.15,l,available,september,february,2026-03-30,7,233,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 68,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",30.85,pcs,available all year,april,may,2026-03-28,41,149,,,True,True,0,,,,4eac4993-e32a-475b-9b79-1be50ecaf713
Product 69,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",18.76,pcs,unavailable,june,november,2026-03-31,6,405,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 70,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",5.48,pcs,available all year,october,august,2026-04-01,24,64,,,True,True,0,,,,30504cf5-9c8b-4bc3-8bec-452979b9d4b7
Product 71,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.07,pcs,available,january,september,2026-04-02,28,239,,,True,True,0,,,,9f714f07-81b3-41c2-8f92-313b27f97a2e
Product 72,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",5.85,l,available all year,december,october,2026-03-29,25,16,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 73,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",39.29,l,available,december,november,2026-04-04,44,204,,,True,True,0,,,,9fc10073-afee-4267-8fa5-7dd157f06ca2
Product 74,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",16.1,kg,available all year,december,october,2026-04-02,18,225,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 75,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",19.01,l,unavailable,april,november,2026-03-23,30,64,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 76,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.52,pcs,available all year,april,july,2026-03-24,22,230,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 77,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",30.76,dozen,unavailable,july,september,2026-03-29,21,159,,,True,True,0,,,,cfb8da7b-e9b4-4076-9c07-3d624259e553
Product 78,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,19.74,kg,available all year,march,october,2026-04-02,38,289,,,True,True,0,,,,34ddc4d2-34dd-46d6-8063-207a654ceb58
Product 79,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",47.23,dozen,available all year,april,june,2026-04-03,44,265,,,True,True,0,,,,b7964ffe-eae4-4d17-8115-34f94eddf200
Product 80,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",13.76,pcs,available all year,march,february,2026-04-01,39,255,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 81,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",39.85,l,unavailable,november,january,2026-04-04,50,137,,,True,True,0,,,,69d51ec4-20e7-4886-82df-a8de3a19c3f1
Product 82,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",28.82,dozen,unavailable,march,october,2026-03-24,1,60,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 83,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",23.12,l,unavailable,january,september,2026-03-27,23,22,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 84,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",21.67,pcs,available,september,december,2026-03-31,22,243,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 85,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",24.59,dozen,available all year,march,may,2026-04-02,3,424,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 86,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",32.93,pcs,available all year,june,may,2026-03-23,36,91,,,True,True,0,,,,d7625810-9748-4ad1-a1ad-58e8e50958f5
Product 87,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",12.74,pcs,unavailable,april,august,2026-03-27,2,387,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 88,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",20.36,dozen,available all year,june,september,2026-04-01,35,105,,,True,True,0,,,,69d51ec4-20e7-4886-82df-a8de3a19c3f1
Product 89,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",23.69,l,available all year,august,may,2026-03-23,40,210,,,True,True,0,,,,d7625810-9748-4ad1-a1ad-58e8e50958f5
Product 90,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",42.51,dozen,unavailable,december,september,2026-04-01,44,78,,,True,True,0,,,,bced84ad-7162-41e6-94f8-09cbb015649d
Product 91,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,16.31,pcs,unavailable,october,august,2026-03-31,27,315,,,True,True,0,,,,9f714f07-81b3-41c2-8f92-313b27f97a2e
Product 92,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",10.51,pcs,available,march,july,2026-03-24,32,157,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 93,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.34,dozen,available,july,july,2026-04-03,9,109,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 94,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",34.71,pcs,unavailable,november,june,2026-03-31,37,25,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 95,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,14.83,pcs,available all year,october,april,2026-04-04,36,271,,,True,True,0,,,,bced84ad-7162-41e6-94f8-09cbb015649d
Product 96,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",39.09,kg,unavailable,september,april,2026-03-27,28,62,,,True,True,0,,,,19c8e589-2a62-49a6-b3fe-209cbb134108
Product 97,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.31,pcs,available all year,september,september,2026-03-30,14,425,,,True,True,0,,,,30504cf5-9c8b-4bc3-8bec-452979b9d4b7
Product 98,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",31.38,kg,available all year,july,january,2026-03-23,35,153,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 99,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",15.53,kg,available,april,july,2026-03-31,4,151,,,True,True,0,,,,2031ebcc-284d-4e8c-9c1e-e95c77f79fbb
Product 100,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",8.59,pcs,available,april,october,2026-04-03,37,333,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 101,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",23.42,pcs,unavailable,may,august,2026-03-26,45,489,,,True,True,0,,,,20da7f93-20bd-4338-90bb-adffd8db3392
Product 102,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",17.37,pcs,unavailable,november,march,2026-04-02,35,213,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 103,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,25.49,dozen,unavailable,march,march,2026-03-31,37,446,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 104,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",3.73,kg,available,december,january,2026-04-03,29,243,,,True,True,0,,,,9fc10073-afee-4267-8fa5-7dd157f06ca2
Product 105,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,49.79,pcs,unavailable,april,february,2026-04-02,42,194,,,True,True,0,,,,19c8e589-2a62-49a6-b3fe-209cbb134108
Product 106,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",33.73,kg,available all year,august,september,2026-04-04,47,368,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 107,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",35.63,pcs,available,february,september,2026-04-03,38,125,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 108,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",35.24,pcs,unavailable,january,july,2026-03-25,15,206,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 109,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",16.7,pcs,unavailable,december,october,2026-04-01,5,281,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 110,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",18.53,pcs,unavailable,may,july,2026-04-02,14,54,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 111,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,30.09,pcs,available,february,july,2026-03-27,16,151,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 112,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,39.28,pcs,available,march,january,2026-04-03,48,210,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 113,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",25.5,pcs,available all year,may,may,2026-03-31,34,465,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 114,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",7.9,dozen,available all year,march,october,2026-03-26,49,251,,,True,True,0,,,,c705a564-c9e1-488b-a283-5ad891e8e974
Product 115,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",2.17,kg,unavailable,may,june,2026-04-04,41,374,,,True,True,0,,,,bced84ad-7162-41e6-94f8-09cbb015649d
Product 116,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",5.5,l,available all year,april,july,2026-04-04,6,168,,,True,True,0,,,,30504cf5-9c8b-4bc3-8bec-452979b9d4b7
Product 117,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",27.51,kg,available,january,june,2026-03-23,47,498,,,True,True,0,,,,5a492b54-b2c5-4769-b74f-7dafeb6aaaf7
Product 118,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",5.68,pcs,available all year,november,april,2026-04-04,20,351,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 119,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",35.83,pcs,unavailable,august,april,2026-03-31,11,200,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 120,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,38.91,pcs,unavailable,october,october,2026-04-04,17,374,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 121,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",26.27,l,available all year,march,february,2026-03-26,11,140,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 122,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",37.43,kg,available all year,march,march,2026-03-29,31,196,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 123,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",46.66,pcs,unavailable,november,february,2026-03-31,16,223,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 124,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",29.22,kg,available all year,september,september,2026-03-25,34,33,,,True,True,0,,,,62548cdc-50c7-47df-ad1a-597d7fadc5cf
Product 125,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,43.5,kg,available all year,march,january,2026-04-04,1,198,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 126,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",37.37,dozen,available all year,february,may,2026-04-04,50,407,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 127,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",1.81,pcs,available all year,february,may,2026-04-03,41,439,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 128,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,38.31,kg,available,april,august,2026-03-27,27,261,,,True,True,0,,,,34ddc4d2-34dd-46d6-8063-207a654ceb58
